薑黃
山豆根
山慈菇
三七
三棱
土貝母
土茯苓
南沙參
太子參
黨參
白及
白蘞
菝葜
北豆根
常山
重樓
川貝母
川木香
刺五加
地榆
莪朮
粉萆薢
粉葛
甘松
藁本
狗脊
骨碎補
紅大戟
紅景天
紅芪
紅參
虎杖
黃精
京大戟
金蕎麥
狼毒
兩面針
龍膽
漏蘆
綿萆薢
綿馬貫眾
明黨參
南板藍根
平貝母
千年健
拳參
商陸
山麥冬
山柰
天葵子
土木香
仙茅
徐長卿
續斷
鬱金
禹州漏蘆
浙貝母
朱砂根
紫草
何首烏
威靈仙
青風藤
大血藤
川木通
蘇木
降香
雞屎藤
雞血藤
絡石藤
忍冬藤
桑枝
檀香
紫蘇梗
八角茴香
蓖麻子
茺蔚子
楮實子
刀豆
稻芽
地膚子
冬葵果
豆蔻
榧子
佛手
穀芽
鶴虱
紅豆蔻
花椒
化橘紅
胡椒
胡蘆巴
芥子
韭菜子
決明子
路路通
南五味子
千金子
牽牛子
青果
桑椹
蛇床子
水紅花子
王不留行
相思子
香櫞
苦杏仁
鴉膽子
余甘子
郁李仁
豬牙皂
核桃仁
槐角
蒺藜
羅漢果
青葙子
金櫻子
南鶴虱
巴豆
益智
蒼耳子
覆盆子
火麻仁
蓮子
蓮子心
馬兜鈴
馬錢子
木鱉子
木蝴蝶
女貞子
胖大海
使君子
水飛薊
天仙子
老鸛草
白花蛇舌草
半邊蓮
車前草
穿心蓮
垂盆草
淡竹葉
燈心草
廣藿香
廣金錢草
槲寄生
絞股藍
雞骨草
金錢草
卷柏
鹿銜草
木賊
蒲公英
伸筋草
鎖陽
天山雪蓮
委陵菜
仙鶴草
豨薟草
淫羊藿
魚腥草
腫節風
佩蘭
澤蘭
穀精草
合歡花
雞蛋花
雞冠花
淩霄花
玫瑰花
鬧羊花
山銀花
夏枯草
辛夷
洋金花
野菊花
月季花
西紅花
臘梅花
""
大青葉
杜仲葉
番瀉葉
枸骨葉
九里香
羅布麻葉
牡荊葉
山楂葉
銀杏葉
棕櫚
白鮮皮
椿皮
關黃柏
苦楝皮
土荊皮
五加皮
香加皮
海金沙
海藻
靈芝
昆布
阿魏
楓香脂
血竭
斑蝥
蟾酥
蟲白蠟
蛤蚧
蛤殼
海馬
雞內金
鹿茸
蘄蛇
蛇蛻
水蛭
瓦楞子
蜈蚣
烏梢蛇
土鼈蟲
珍珠母
金錢白花蛇
白礬
金礞石
爐甘石
青礞石
玄明粉
赭石
自然銅
紫石英
冬蟲夏草
兒茶
蘆薈
天竺黃
柿蒂
